name,category,parent,synonyms,finding_type,finding_cluster,oifm_id
solid_papillary_carcinoma_in_situ,papillary_neoplasm,solid_papillary_carcinoma,,diagnosis,,
solid_papillary_carcinoma_invasive,papillary_neoplasm,solid_papillary_carcinoma,,diagnosis,,
invasive_papillary_carcinoma,papillary_neoplasm,papillary_carcinoma,,diagnosis,,
epithelial_myoepithelial_neoplasm,epithelial_myoepithelial,,,,,
pleomorphic_adenoma_of_breast,epithelial_myoepithelial,epithelial_myoepithelial_neoplasm,Pleomorphic adenoma,diagnosis,,
adenomyoepithelioma,epithelial_myoepithelial,epithelial_myoepithelial_neoplasm,,diagnosis,,
malignant_adenomyoepithelioma,epithelial_myoepithelial,adenomyoepithelioma,,diagnosis,,
carcinoma_of_breast,invasive_carcinoma,,,diagnosis,,
invasive_breast_carcinoma_nst,invasive_carcinoma,carcinoma_of_breast,"IDC,Invasive ductal carcinoma,Invasive carcinoma of no special type,IBC-NST,Ductal carcinoma",diagnosis,,
invasive_breast_carcinoma_nst_medullary_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,"Medullary carcinoma,Carcinoma with medullary features,Atypical medullary carcinoma,IBC-NST medullary pattern",diagnosis,,
invasive_breast_carcinoma_nst_neuroendocrine_differentiation,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST neuroendocrine differentiation,diagnosis,,
invasive_breast_carcinoma_nst_osteoclast_like_giant_cells,invasive_carcinoma,invasive_breast_carcinoma_nst,"Carcinoma with osteoclast-like stromal giant cells,IBC-NST osteoclast-like giant cells",diagnosis,,
invasive_breast_carcinoma_nst_pleomorphic_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST pleomorphic pattern,diagnosis,,
invasive_breast_carcinoma_nst_choriocarcinomatous_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST choriocarcinomatous pattern,diagnosis,,
invasive_breast_carcinoma_nst_melanocytic_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST melanocytic pattern,diagnosis,,
invasive_breast_carcinoma_nst_oncocytic_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST oncocytic pattern,diagnosis,,
invasive_breast_carcinoma_nst_lipid_rich_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST lipid-rich pattern,diagnosis,,
invasive_breast_carcinoma_nst_glycogen_rich_clear_cell_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST glycogen-rich clear cell pattern,diagnosis,,
invasive_breast_carcinoma_nst_sebaceous_pattern,invasive_carcinoma,invasive_breast_carcinoma_nst,IBC-NST sebaceous pattern,diagnosis,,
microinvasive_carcinoma,invasive_carcinoma,carcinoma_of_breast,,diagnosis,,
invasive_lobular_carcinoma,invasive_carcinoma,carcinoma_of_breast,"ILC,Lobular carcinoma",diagnosis,,
classic_invasive_lobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,"Classic invasive lobular carcinoma,Classic ILC",diagnosis,,
solid_invasive_lobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,"Solid variant ILC,Solid ILC",diagnosis,,
alveolar_invasive_lobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,"Alveolar variant ILC,Alveolar ILC",diagnosis,,
pleomorphic_invasive_lobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,"Pleomorphic invasive lobular carcinoma,Pleomorphic ILC",diagnosis,,
tubulolobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,,diagnosis,,
signet_ring_cell_invasive_lobular_carcinoma,invasive_carcinoma,invasive_lobular_carcinoma,"Signet ring cell carcinoma of breast,Signet ring cell ILC",diagnosis,,
tubular_carcinoma,invasive_carcinoma,carcinoma_of_breast,,diagnosis,,
